a,b,c,d
11.5308888,24.49090256,36.5001048,20.4204491
12.5986032,24.49090256,37.4114568,20.41363092
13.6650984,24.49090256,38.3185416,20.5568127
14.8846032,24.49090256,39.2305032,20.9999944
15.9529272,24.49090256,40.1854416,21.818176
17.0294808,24.05453904,41.187624,22.9431757
18.0874416,23.85681182,42.2367456,24.0681754
19.1524128,23.84317546,43.3321968,24.9204479
20.2179936,23.84999364,44.4736728,25.40453868
21.2850984,23.86363,45.6236832,25.58181136
22.3518984,23.86363,46.7688168,25.6022659
23.4186984,23.86363,47.9148648,25.58181136
24.4854984,23.86363,49.0645704,25.39090232
25.5538224,23.8295391,50.2039128,24.90681154
26.6190984,23.75453912,51.300888,24.09544812
27.6776688,23.6931755,52.3530576,23.02499386
28.7331912,23.6931755,53.359812,21.96135778
29.7914568,23.74772094,54.3223704,21.136358
30.8567328,23.8295391,55.2407328,20.63181268
31.9250568,23.86363,56.1481224,20.44090364
32.9918568,23.86363,57.0558168,20.47499454
34.058352,23.86363,57.968388,20.6931763
35.125152,23.86363,58.8943704,21.08181256
36.191952,23.86363,59.8477848,21.55226698
37.258752,23.86363,60.8301552,21.86590326
38.3252472,23.86363,61.8234984,21.86590326
39.3917424,23.87044818,62.805564,21.55226698
40.459152,23.87726636,63.7589784,21.08181256
41.529,23.84317546,64.6849608,20.6931763
42.597324,23.70681186,65.5972272,20.4886309
43.6552848,23.47499374,66.50736,20.42726728
44.6961768,23.25681198,67.4205408,20.42726728
45.7254864,23.17499382,68.3340264,20.42726728
46.7572344,23.25681198,69.2465976,20.4204491
47.80026,23.39999376,70.1539872,20.52953998
48.8539536,23.48181192,71.0638152,20.9659035
49.9073424,23.46135738,72.013572,21.68863058
50.953416,23.41363012,73.0005144,22.39090312
51.9964416,23.40681194,74.0310432,22.82044846
53.0422104,23.44772102,75.0637056,22.92953934
54.0931608,23.50908464,76.081128,22.99772114
55.1465496,23.53635736,77.1061704,23.22953926
56.199024,23.53635736,78.1534632,23.54317554
57.2508888,23.52953918,79.215996,23.8295391
58.302144,23.54317554,80.2855392,24.1022663
59.3533992,23.5909028,81.3645312,24.44999348
60.408312,23.6931755,82.4639448,24.90681154
61.4702352,23.80226638,83.5904856,25.38408414
